"indice_tiempo","partida","valor"
"2018-01-01","0101 - Caballos, asnos, mulos y burdeganos, vivos.","3866"
"2018-01-01","0102 - Animales vivos de la especie bovina.","55"
"2018-01-01","0104 - Animales vivos de las especies ovina o caprina.","6"
"2018-01-01","0105 - Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos.","73"
"2018-01-01","0106 - Los demas animales vivos.","17"
"2018-01-01","0201 - Carne de animales de la especie bovina, fresca o refrigerada.","51241"
"2018-01-01","0202 - Carne de animales de la especie bovina, congelada.","84904"
"2018-01-01","0203 - Carne de animales de la especie porcina, fresca, refrigerada o congelada.","301"
"2018-01-01","0204 - Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada.","987"
"2018-01-01","0205 - Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada.","5676"
"2018-01-01","0206 - Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados.","20344"
"2018-01-01","0207 - Carne y despojos comestibles, de aves de la partida n: 01.05, frescos, refrigerados o congelados.","23666"
"2018-01-01","0209 - Tocino sin partes magras y grasa de cerdo o de ave sin fundir ni extraer de otro modo, frescos, refrigerados, congelados, salados o en salmuera, secos o ahumados.","198"
"2018-01-01","0210 - Carne y despojos comestibles, salados o en salmuera, secos o ahumados; harina y polvo comestibles, de carne o de despojos.","108"
"2018-01-01","0302 - Pescado fresco o refrigerado, excepto los filetes y demas carne de pescado de la partida n: 03.04.","7"
"2018-01-01","0303 - Pescado congelado, excepto los filetes y demas carne de pescado de la partida n: 03.04.","22426"
"2018-01-01","0304 - Filetes y demas carne de pescado (incluso picada), frescos, refrigerados o congelados.","19510"
"2018-01-01","0305 - Pescado seco, salado o en salmuera; pescado ahumado, incluso cocido antes o durante el ahumado; harina, polvo y ""pellets"" de pescado, aptos para la alimentacion humana.","4157"
"2018-01-01","0306 - Crustaceos, incluso pelados, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; crustaceos sin pelar, cocidos en agua o vapor, incluso refrigerados, congelados, secos, salados o en salmuera; harina, polvo y ""pellets"" de crustaceos, a","96907"
"2018-01-01","0307 - Moluscos, incluso separados de sus valvas, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; invertebrados acuaticos, excepto los crustaceos y moluscos, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; harina,","20538"
"2018-01-01","0401 - Leche y nata (crema), sin concentrar, sin adicion de azucar ni otro edulcorante.","47"
"2018-01-01","0402 - Leche y nata (crema), concentradas o con adicion de azucar u otro edulcorante.","25940"
"2018-01-01","0403 - Suero de manteca (de mantequilla)*, leche y nata (crema) cuajadas, yogur, kefir y demas leches y natas (cremas), fermentadas o acidificadas, incluso concentrados, con adicion de azucar u otro edulcorante, aromatizados o con frutas u otros frutos o cacao.","239"
"2018-01-01","0404 - Lactosuero, incluso concentrado o con adicion de azucar u otro edulcorante; productos constituidos por los componentes naturales de la leche, incluso con adicion de azucar u otro edulcorante, no expresados ni comprendidos en otra parte.","7361"
"2018-01-01","0405 - Manteca (mantequilla)* y demas materias grasas de la leche; pastas lacteas para untar.","3348"
"2018-01-01","0406 - Quesos y requeson.","19162"
"2018-01-01","0407 - Huevos de ave con cascara (cascarsn), frescos, conservados o cocidos.","377"
"2018-01-01","0408 - Huevos de ave sin cascara (cascaron) y yemas de huevo, frescos, secos, cocidos en agua o vapor, moldeados, congelados o conservados de otro modo, incluso con adicion de azucar u otro edulcorante.","2380"
"2018-01-01","0409 - Miel natural.","11125"
"2018-01-01","0504 - Tripas, vejigas y estomagos de animales, excepto los de pescado, enteros o en trozos, frescos, refrigerados, congelados, salados o en salmuera, secos o ahumados.","4211"
"2018-01-01","0505 - Pieles y demas partes de ave, con sus plumas o su plumon, plumas y partes de plumas (incluso recortadas) y plumon, en bruto o simplemente limpiados, desinfectados o preparados para su conservacion; polvo y desperdicios de plumas o de partes de plumas.","941"
"2018-01-01","0506 - Huesos y nucleos corneos, en bruto, desgrasados, simplemente preparados (pero sin cortar en forma determinada), acidulados o desgelatinizados; polvo y desperdicios de estas materias.","63"
"2018-01-01","0507 - Marfil, concha (caparazon) de tortuga, ballenas de mamiferos marinos (incluidas las barbas), cuernos, astas, cascos, pezuqas, uqas, garras y picos, en bruto o simplemente preparados, pero sin cortar en forma determinada; polvo y desperdicios de estas mat","129"
