"indice_tiempo","partida","valor"
"2018-01-01","0808 - Manzanas, peras y membrillos, frescos.","188"
"2018-01-01","0809 - Damascos (chabacanos, albaricoques)*, cerezas, duraznos (melocotones)* (incluidos los griqones y nectarinas), ciruelas y endrinas, frescos.","73"
"2018-01-01","0810 - Las demas frutas u otros frutos, frescos.","1267"
"2018-01-01","0811 - Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso con adicion de azucar u otro edulcorante.","425"
"2018-01-01","0812 - Frutas y otros frutos, conservados provisionalmente (por ejemplo: con gas sulfuroso o con agua salada, sulfurosa o adicionada de otras sustancias para dicha conservacion), pero todavia impropios para consumo inmediato.","14"
"2018-01-01","0813 - Frutas y otros frutos, secos, excepto los de las partidas n: 08.01 a 08.06; mezclas de frutas u otros frutos, secos, o de frutos de cascara de este capitulo.","175"
"2018-01-01","0901 - Cafe, incluso tostado o descafeinado; cascara y cascarilla de cafe; sucedaneos del cafe que contengan cafe en cualquier proporcion.","6870"
"2018-01-01","0902 - Te, incluso aromatizado.","203"
"2018-01-01","0903 - Yerba mate.","103"
"2018-01-01","0904 - Pimienta del genero piper; frutos de los generos capsicum o pimenta, secos, triturados o pulverizados.","845"
"2018-01-01","0906 - Canela y flores de canelero.","214"
"2018-01-01","0908 - Nuez moscada, macis, amomos y cardamomos.","143"
"2018-01-01","0909 - Semillas de anis, badiana, hinojo, cilantro, comino o alcaravea; bayas de enebro.","229"
"2018-01-01","0910 - Jengibre, azafran, curcuma, tomillo, hojas de laurel, ""curry"" y demas especias.","443"
"2018-01-01","1005 - Maiz.","17"
"2018-01-01","1006 - Arroz.","139"
"2018-01-01","1008 - Alforfon, mijo y alpiste; los demas cereales.","72"
"2018-01-01","1102 - Harina de cereales, excepto de trigo o de morcajo (tranquillon).","62"
"2018-01-01","1103 - Graqones, semola y ""pellets"", de cereales.","1"
"2018-01-01","1104 - Granos de cereales trabajados de otro modo (por ejemplo: mondados, aplastados, en copos, perlados, troceados o quebrantados), excepto el arroz de la partida n: 10.06; germen de cereales entero, aplastado, en copos o molido.","143"
"2018-01-01","1105 - Harina, semola, polvo, copos, granulos y ""pellets"" de papa (patata)*.","106"
"2018-01-01","1106 - Harina, semola y polvo de las hortalizas (incluso silvestres) de la partida n: 07.13, de sagu o de las raices o tuberculos de la partida n: 07.14 o de los productos del capitulo 8.","64"
"2018-01-01","1107 - Malta (de cebada u otros cereales), incluso tostada.","260"
"2018-01-01","1108 - Almidon y fecula; inulina.","1212"
"2018-01-01","1109 - Gluten de trigo, incluso seco.","94"
"2018-01-01","1201 - Habas (porotos, frijoles, frijoles)* de soja (soya); incluso quebrantadas.","396"
"2018-01-01","1202 - Manies (cacahuetes, cacahuates)* sin tostar ni cocer de otro modo, incluso sin cascara o quebrantados.","49"
"2018-01-01","1207 - Las demas semillas y frutos oleaginosos, incluso quebrantados.","267"
"2018-01-01","1209 - Semillas, frutos y esporas, para siembra.","9529"
"2018-01-01","1210 - Conos de lupulo frescos o secos, incluso triturados, molidos o en ""pellets""; lupulino.","971"
"2018-01-01","1211 - Plantas, partes de plantas, semillas y frutos de las especies utilizadas principalmente en perfu- meria, medicina o para usos insecticidas, parasiticidas o similares, frescos o secos, inclusos cortados, quebrantados o pulverizados.","1148"
"2018-01-01","1212 - Algarrobas, algas, remolacha azucarera y caqa de azucar, frescas, refrigeradas, congeladas o secas, incluso pulverizadas; carozos (huesos)* y almendras de frutos y demas productos vegetales (incluidas las raices de achicoria sin tostar de la variedad cic","693"
"2018-01-01","1301 - Goma laca; gomas, resinas, gomorresinas y oleorresinas (por ejemplo: balsamos), naturales.","639"
"2018-01-01","1302 - Jugos y extractos vegetales; materias pecticas, pectinatos y pectatos; agar-agar y demas mucilagos y espesativos derivados de los vegetales, incluso modificados.","5338"
"2018-01-01","1401 - Materias vegetales de las especies utilizadas principalmente en cesteria o esparteria (por ejemplo: bambu, roten (ratan)*, caqa, junco, mimbre, rafia, paja de cereales limpiada, blanqueada o teqida, corteza de tilo).","154"
"2018-01-01","1404 - Productos vegetales no expresados ni comprendidos en otra parte.","527"
"2018-01-01","1501 - Grasa de cerdo (incluida la manteca de cerdo) y grasa de ave, excepto las de las partidas n: 02.09 o 15.03.","0"
"2018-01-01","1504 - Grasas y aceites, y sus fracciones, de pescado o de mamiferos marinos, incluso refinados, pero sin modificar quimicamente.","77"
"2018-01-01","1505 - Grasa de lana y sustancias grasas derivadas, incluida la lanolina.","26"
"2018-01-01","1506 - Las demas grasas y aceites animales, y sus fracciones, incluso refinados, pero sin modificar quimicamente.","123"
"2018-01-01","1507 - Aceite de soja (soya) y sus fracciones, incluso refinado, pero sin modificar quimicamente.","1"
"2018-01-01","1508 - Aceite de mani (cacahuate, cacahuete)* y sus fracciones, incluso refinado, pero sin modificar quimicamente.","6"
"2018-01-01","1509 - Aceite de oliva y sus fracciones, incluso refinado, pero sin modificar quimicamente.","2"
"2018-01-01","1511 - Aceite de palma y sus fracciones, incluso refinado, pero sin modificar quimicamente.","511"
"2018-01-01","1513 - Aceites de coco (de copra), de almendra de palma o babasu,y sus fracciones, incluso refinados, pero sin modificar quimicamente.","2626"
"2018-01-01","1514 - Aceites de nabo (de nabina), colza o mostaza, y sus fracciones, incluso refinados, pero sin modificar quimicamente.","410"
"2018-01-01","1515 - Las demas grasas y aceites vegetales fijos (incluido el aceite de jojoba), y sus fracciones, incluso refinados, pero sin modificar quimicamente.","257"
"2018-01-01","1516 - Grasas y aceites, animales o vegetales, y sus fracciones, parcial o totalmente hidrogenados, interesterificados, reesterificados o elaidinizados, incluso refinados, pero sin preparar de otro modo.","990"
"2018-01-01","1517 - Margarina; mezclas o preparaciones alimenticias de grasas o aceites, animales o vegetales, o de fracciones de diferentes grasas o aceites, de este capitulo, excepto las grasas y aceites alimenticios y sus fracciones, de la partida n: 15.16.","3132"
"2018-01-01","1518 - Grasas y aceites, animales o vegetales, y sus fracciones, cocidos, oxidados, deshidratados, sulfurados, soplados, polimerizados por calor en vacio o atmosfera inerte (""estandolizados""), o modificados quimicamente de otra forma, excepto los de la partida","18"
"2018-01-01","1521 - Ceras vegetales (excepto los trigliceridos), cera de abejas o de otros insectos y esperma de ballena o de otros cetaceos (espermaceti), incluso refinadas o coloreadas.","73"
"2018-01-01","1601 - Embutidos y productos similares de carne, despojos o sangre; preparaciones alimenticias a base de estos prouctos.","35"
"2018-01-01","1602 - Las demas preparaciones y conservas de carne, despojos o sangre.","1026"
"2018-01-01","1603 - Extractos y jugos de carne, pescado o de crustaceos, moluscos o demas invertebrados acuaticos.","79"
"2018-01-01","1604 - Preparaciones y conservas de pescado; caviar y sus sucedaneos preparados con huevas de pescado.","19900"
"2018-01-01","1605 - Crustaceos, moluscos y demas invertebrados acuaticos, preparados o conservados.","796"
"2018-01-01","1701 - Azucar de caqa o de remolacha y sacarosa quimicamente pura, en estado solido.","39"
"2018-01-01","1702 - Los demas azucares, incluidas la lactosa, maltosa, glucosa y fructosa (levulosa) quimicamente puras, en estado solido; jarabe de azucar sin adicion de aromatizante ni colorante; sucedaneos de la miel, incluso mezclados con miel natural; azucar y melaza c","2321"
"2018-01-01","1704 - Articulos de confiteria sin cacao (incluido el chocolate blanco).","3065"
"2018-01-01","1801 - Cacao en grano, entero o partido, crudo o tostado.","237"
"2018-01-01","1803 - Pasta de cacao, incluso desgrasada.","2051"
"2018-01-01","1804 - Manteca, grasa y aceite de cacao.","4353"
"2018-01-01","1805 - Cacao en polvo sin adicion de azucar ni otro edulcorante.","4089"
"2018-01-01","1806 - Chocolate y demas preparaciones alimenticias que contengan cacao.","6452"
"2018-01-01","1901 - Extracto de malta; preparaciones alimenticias de harina, semola, almidon, fecula o extracto de malta, que no contengan cacao o con un contenido de cacao inferior al 40% en peso calculado sobre una base totalmente desgrasada, no expresadas ni comprendidas","1385"
"2018-01-01","1902 - Pastas alimenticias, incluso cocidas o rellenas (de carne u otras sustancias) o bien preparadas de otra forma, tales como espaguetis, fideos, macarrones, tallarines, lasaqas, qoquis, ravioles, canelones; cuscus, incluso preparado.","469"
"2018-01-01","1904 - Productos a base de cereales obtenidos por inflado o tostado (por ejemplo: hojuelas o copos de maiz); cereales (excepto el maiz) en grano o en forma de copos u otro grano trabajado (excepto la harina y semola), precocidos o preparados de otro modo, no ex","698"
"2018-01-01","1905 - Productos de panaderia, pasteleria o galleteria, incluso con adicion de cacao; hostias, sellos vacios del tipo de los utilizados para medicamentos, obleas para sellar, pastas secas de harina, almidon o fecula, en hojas, y productos similares.","1475"
"2018-01-01","2001 - Hortalizas (incluso silvestres), frutas u otros frutos y demas partes comestibles de plantas, preparados o conservados en vinagre o en acido acetico.","212"
"2018-01-01","2002 - Tomates preparados o conservados (excepto en vi- nagre o en acido acetico).","2943"
"2018-01-01","2003 - Setas y demas hongos, y trufas, preparadas o conservadas (excepto en vinagre o en acido acetico).","918"
"2018-01-01","2004 - Las demas hortalizas (incluso silvestres) preparadas o conservadas (excepto en vinagre o en acido acetico), congeladas, excepto los productos de la partida n: 20.06.","1588"
"2018-01-01","2005 - Las demas hortalizas (incluso silvestres) preparadas o conservadas (excepto en vinagre o en acido acetico), sin congelar, excepto los productos de la partida n: 20.06.","4933"
"2018-01-01","2006 - Hortalizas (incluso silvestres), frutas u otros frutos o sus cortezas y demas partes de plantas, confitados con azucar (almibarados, glaseados o escarchados).","505"
"2018-01-01","2007 - Confituras, jaleas y mermeladas, pures y pastas de frutas u otros frutos, obtenidos por coccion, incluso con adicion de azucar u otro endulcorante.","1568"
"2018-01-01","2008 - Frutas u otros frutos y demas partes comestibles de plantas, preparados o conservados de otro modo, incluso con adicion de azucar u otro edulcorante o alcohol, no expresados ni comprendidos en otra parte.","4643"
"2018-01-01","2009 - Jugos de frutas u otros frutos (incluido el mosto de uva) o de hortalizas (incluso silvestres) sin fermentar y sin adicion de alcohol, incluso con adicion de azucar u otro edulcorante.","1377"
"2018-01-01","2101 - Extractos, esencias y concentrados de cafe, te o yerba mate y preparaciones a base de estos productos o a base de cafe, te o yerba mate; achicoria tostada y demas sucedaneos del cafe tostados y sus extractos, esencias y concentrados.","5965"
"2018-01-01","2102 - Levaduras (vivas o muertas); los demas microorganismos monocelulares muertos (excepto las vacunas de la partida n: 30.02); polvos para hornear preparados.","1675"
"2018-01-01","2103 - Preparaciones para salsas y salsas preparadas; condimentos y sazonadores, compuestos; harina de mostaza y mostaza preparada.","1057"
"2018-01-01","2104 - Preparaciones para sopas, potajes o caldos; sopas, potajes o caldos, preparados; preparaciones alimenticias compuestas homogeneizadas.","754"
"2018-01-01","2105 - Helados, incluso con cacao.","58"
"2018-01-01","2106 - Preparaciones alimenticias no expresadas ni comprendidas en otra parte.","13904"
"2018-01-01","2201 - Agua, incluidas el agua mineral natural o artificial y la gaseada, sin adicion de azucar u otro edulcorante ni aromatizada; hielo y nieve.","227"
"2018-01-01","2202 - Agua, incluidas el agua mineral y la gaseada, con adicion de azucar u otro edulcorante o aromatizada, y demas bebidas no alcoholicas, excepto los jugos de frutas u otros frutos, o de hortalizas (incluso silvestres) de la partida n: 20.09.","1603"
"2018-01-01","2203 - Cerveza de malta.","6037"
"2018-01-01","2204 - Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la partida n: 20.09.","1989"
"2018-01-01","2205 - Vermut y demas vinos de uvas frescas preparados con plantas o sustancias aromaticas.","60"
"2018-01-01","2206 - Las demas bebidas fermentadas (por ejemplo: sidra, perada, aguamiel); mezclas de bebidas fermentadas y mezclas de bebidas fermentadas y bebidas no alcohslicas, no expresadas ni comprendidas en otra parte.","25"
"2018-01-01","2207 - Alcohol etilico sin desnaturalizar con grado alcoholico volumetrico superior o igual a 80% vol; alcohol etilico y aguardiente desnaturalizados, de cualquier graduacion.","823"
"2018-01-01","2208 - Alcohol etilico sin desnaturalizar con grado alcoholico volumetrico inferior a 80% vol; aguardientes, licores y demas bebidas espirituosas.","5550"
"2018-01-01","2209 - Vinagre y sucedaneos del vinagre obtenidos a partir del acido acetico.","18"
"2018-01-01","2301 - Harina, polvo y ""pellets"", de carne, despojos, pescado o de crustaceos, moluscos o demas invertebrados acuaticos, impropios para la alimentacion humana; chicharrones.","492"
"2018-01-01","2302 - Salvados, moyuelos y demas residuos del cernido, de la molienda o de otros tratamientos de los cereales o de las leguminosas, incluso en ""pellets"".","188"
"2018-01-01","2303 - Residuos de la industria del almidon y residuos similares, pulpa de remolacha, bagazo de caqa de azucar y demas desperdicios de la industria azucarera, heces y desperdicios de cerveceria o de destileria, incluso en ""pellets"".","266"
"2018-01-01","2304 - Tortas y demas residuos sslidos de la extraccisn del aceite de soja (soya), incluso molidos o en ""pellets"".","118"
"2018-01-01","2308 - Materias vegetales y desperdicios vegetales, residuos y subproductos vegetales, incluso en ""pellets"", del tipo de los utilizados para la alimentacion de los animales, no expresados ni comprendidos en otra parte.","10"
"2018-01-01","2309 - Preparaciones del tipo de las utilizadas para la alimentacion de los animales.","3665"
"2018-01-01","2402 - Cigarros (puros) (incluso despuntados), cigarritos (puritos) y cigarrillos, de tabaco o de sucedaneos del tabaco.","410"
"2018-01-01","2403 - Los demas tabacos y sucedaneos del tabaco, elaborados; tabaco ""homogeneizado"" o ""reconstituido""; extractos y jugos de tabaco.","2794"
"2018-01-01","2501 - Sal (incluidas las de mesa y la desnaturalizada) y cloruro de sodio puro, incluso en disolucisn acuosa o con adicisn de antiaglomerantes o de agentes que garanticen una buena fluidez; agua de mar.","430"
"2018-01-01","2502 - Piritas de hierro sin tostar.","24"
"2018-01-01","2503 - Azufre de cualquier clase, excepto el sublimado, el precipitado y el coloidal.","62"
"2018-01-01","2504 - Grafito natural.","108"
"2018-01-01","2505 - Arenas naturales de cualquier clase, incluso coloreadas, excepto las arenas metaliferas del capitulo 26.","1158"
"2018-01-01","2506 - Cuarzo (excepto las arenas naturales); cuarcita, incluso desbastada o simplemente troceada, por aserrado o de otro modo, en bloques o en placas cuadradas o rectangulares.","13"
"2018-01-01","2507 - Caolmn y demas arcillas caolmnicas, incluso calcinados.","1054"
"2018-01-01","2508 - Las demas arcillas (excepto las arcillas dilatadas de la partida n: 68.06), andalucita, cianita y silimanita, incluso calcinadas; mullita; tierras de chamota o de dinas.","2497"
"2018-01-01","2509 - Creta.","61"
"2018-01-01","2511 - Sulfato de bario natural (baritina); carbonato de bario natural (witherita), incluso calcinado, excepto el oxido de bario de la partida n: 28.16.","2443"
"2018-01-01","2512 - Harinas siliceas fosiles (por ejemplo: kieselguhr, tripolita, diatomita) y demas tierras siliceas analogas, de densidad aparente inferior o igual a 1, incluso calcinadas.","351"
"2018-01-01","2513 - Piedra pomez; esmeril; corindon natural, granate natural y demas abrasivos naturales, incluso tratados termicamente.","75"
"2018-01-01","2516 - Granito, porfido, basalto, arenisca y demas piedras de talla o de construccion, incluso desbastados o simplemente troceados, por aserrado o de otro modo, en bloques o en placas cuadradas o rectangulares.","178"
"2018-01-01","2517 - Cantos, grava, piedras machacadas, de los tipos generalmente utilizados para hacer hormigon, o para firmes de carreteras, vias ferreas u otros balastos, guijarros y pedernal, incluso tratados termicamente; macadan de escorias o de desechos industriales s","1322"
"2018-01-01","2518 - Dolomita, incluso sinterizada o calcinada; dolomita desbastada o simplemente troceada, por aserrado o de otro modo, en bloques o en placas cuadradas o rectangulares; aglomerado de dolomita.","452"
"2018-01-01","2519 - Carbonato de magnesio natural (magnesita); magnesia electrofundida ; magnesia calcinada a muerte (sinterizada), incluso con pequeqas cantidades de otros oxidos aqadidos antes de la sinterizacion; oxido de magnesio, incluso puro.","726"
"2018-01-01","2520 - Yeso natural; anhidrita; yeso fraguable (consistente en yeso natural calcinado o en sulfato de calcio), incluso coloreado o con pequeqas cantidades de aceleradores o retardadores.","13"
"2018-01-01","2522 - Cal viva, cal apagada y cal hidraulica, excepto el oxido y el hidroxido de calcio de la partida n: 28.25.","40"
"2018-01-01","2523 - Cementos hidraulicos (comprendidos los cementos sin pulverizar o ""clinker""), incluso coloreados.","6175"
"2018-01-01","2525 - Mica, incluida la mica exfoliada en laminillas irregulares (""splittings""); desperdicios de mica.","17"
"2018-01-01","2526 - Esteatita natural, incluso desbastada o simplemente troceada, por aserrado o de otro modo, en bloques o en placas cuadradas o rectangulares; talco.","457"
"2018-01-01","2529 - Feldespato; leucita; nefelina y nefelina sienita; espato fluor.","39"
"2018-01-01","2530 - Materias minerales no expresadas ni comprendidas en otra parte.","539"
"2018-01-01","2601 - Minerales de hierro y sus concentrados, incluidas las piritas de hierro tostadas (cenizas de piritas).","58206"
"2018-01-01","2602 - Minerales de manganeso y sus concentrados, incluidos los minerales de manganeso ferruginosos y sus concentrados con un contenido de manganeso superior o igual al 20 % en peso, sobre producto seco.","2201"
"2018-01-01","2606 - Minerales de aluminio y sus concentrados.","2807"
"2018-01-01","2610 - Minerales de cromo y sus concentrados.","85"
"2018-01-01","2613 - Minerales de molibdeno y sus concentrados.","481"
"2018-01-01","2614 - Minerales de titanio y sus concentrados.","77"
"2018-01-01","2618 - Escorias granuladas (arena de escorias) de la siderurgia.","1052"
"2018-01-01","2701 - Hullas; briquetas, ovoides y combustibles solidos similares, obtenidos de la hulla.","17006"
"2018-01-01","2702 - Lignitos, incluso aglomerados, excepto el azabache.","0"
"2018-01-01","2703 - Turba (comprendida la utilizada para cama de animales), incluso aglomerada.","324"
"2018-01-01","2706 - Alquitranes de hulla, lignito o turba y demas alquitranes minerales, aunque esten deshidratados o descabezados, incluidos los alquitranes reconstituidos.","10"
"2018-01-01","2707 - Aceites y demas productos de la destilacion de los alquitranes de hulla de alta temperatura; productos analogos en los que los constituyentes aromaticos predominen en peso sobre los no aromaticos.","333"
"2018-01-01","2709 - Aceites crudos de petrsleo o de mineral bituminoso.","101567"
"2018-01-01","2710 - Aceites de petrsleo o de mineral bituminoso, excepto los aceites crudos; preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petrsleo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites","181176"
"2018-01-01","2711 - Gas de petroleo y demas hidrocarburos gaseosos.","115228"
"2018-01-01","2712 - Vaselina; parafina, cera de petroleo microcristalina, ""slack wax"", ozoquerita, cera de lignito, cera de turba, demas ceras minerales y productos similares obtenidos por sintesis o por otros procedimientos, incluso coloreados.","1709"
"2018-01-01","2713 - Coque de petroleo, betun de petroleo y demas residuos de los aceites de petroleo o de mineral bituminoso.","4769"
"2018-01-01","2714 - Betunes y asfaltos naturales; pizarras y arenas bituminosas; asfaltitas y rocas asfalticas.","105"
"2018-01-01","2715 - Mezclas bituminosas a base de asfalto o de betun naturales, de betun de petroleo, de alquitran mineral o de brea de alquitran mineral (por ejemplo: mastiques bituminosos, ""cut backs"").","354"
"2018-01-01","2716 - Energia electrica.","33813"
"2018-01-01","2801 - Fluor, cloro, bromo y yodo.","79"
"2018-01-01","2802 - Azufre sublimado o precipitado; azufre coloidal.","9"
"2018-01-01","2803 - Carbono (negros de humo y otras formas de carbono no expresadas ni comprendidas en otra parte).","980"
"2018-01-01","2804 - Hidrogeno, gases nobles y demas elementos no metalicos.","1783"
"2018-01-01","2805 - Metales alcalinos o alcalinoterreos; metales de las tierras raras, escandio e itrio, incluso mezclados o aleados entre si; mercurio.","52"
"2018-01-01","2806 - Cloruro de hidrogeno (acido clorhidrico); acido clorosulfurico.","15"
"2018-01-01","2807 - Acido sulfzrico; oleum.","0"
"2018-01-01","2808 - Acido nmtrico; acidos sulfonmtricos.","308"
"2018-01-01","2809 - Pentaoxido de difosforo; acido fosforico y acidos polifosforicos.","1706"
"2018-01-01","2810 - Sxidos de boro; acidos bsricos.","1"
"2018-01-01","2811 - Los demas acidos inorganicos y los demas compuestos oxigenados inorganicos de los elementos no metalicos.","1874"
